x,y
6600.0,904183.2132203508
6880.0,805530.496922747
7000.0,788664.4375550686
7200.0,696389.8179696281
7360.0,682800.7222464287
7400.0,657774.3827248882
7520.0,652244.0187186983
7760.0,601193.5813364701
7880.0,568304.9229169883
8080.0,548723.307902779
8160.0,533352.2837869007
8280.0,524860.9493154882
8480.0,486837.4519850729
8640.0,479676.33771273907
8680.0,471921.20035747153
8800.0,469191.81079551874
8880.0,469024.26632129407
8960.0,455617.1599619127
9040.0,444685.65828103025
9120.0,432395.2352588311
9160.0,428835.8858101367
9280.0,424033.0543519451
9320.0,423454.524322546
9360.0,419216.2344471402
9440.0,414438.2670768184
9560.0,407384.86615083093
9720.0,389845.99978445447
9760.0,389549.6648570834
9840.0,385317.23014267976
9880.0,383704.75874339865
9960.0,381849.3167762083
10040.0,380242.36000111746
10080.0,378461.1880383923
10120.0,378092.0475380436
10160.0,374297.57645527285
10200.0,371364.47202666005
10320.0,358498.0331610758
10360.0,357296.9705287729
10440.0,354747.6675682576
10560.0,352211.1817736098
10600.0,350968.29667285876
10640.0,350353.24264097953
10680.0,348528.0337645172
10720.0,347378.83675231336
10760.0,344913.69259293715
10920.0,339919.591322205
10960.0,333040.245593786
11040.0,332880.4625613755
11080.0,331568.21105789184
11120.0,330118.78030053223
11160.0,329910.46715833095
11280.0,326701.9085256172
11360.0,322824.8239883027
11480.0,316803.6608745199
11560.0,316655.9433524838
11640.0,314385.72024210467
11680.0,314354.32465567713
11800.0,311216.5238240189
11960.0,305366.68912381394
12040.0,304517.02787850023
12120.0,303618.9825565196
12240.0,301432.4586219393
12480.0,296222.80608562496
